OBJECTID,Longitude,Latitude,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,STATION_NUMBER,STATION_NAME,STREET_NAME,BETWEEN_WHICH_CROSS_STREET,GEO_LOCATION,ZONE,STATION_CATEGORY,STATION_TYPE,PUBLIC_PRIVATE,DOCK_ORIENTATION,STATION_LENGTH_AVAILABLE,STATION_WIDTH_AVAILABLE,NUMBER_OF_RACKS,SURFACE,TYPE_OF_SIGN,KIOSK_,MARTA,PARK,INSTALLED
75,-84.397884,33.79326743,{F245E988-3DDA-4E8B-B051-1D5049795D19},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,108,Atlantic Station,,,-84.397874 33.793307,1,Private Property,Sidewalk,Private,Mono-directional Straight,26,6,10,Stone or Brick Pavers,Small Sign,yes,yes,yes,yes
76,-84.39611398,33.76989098,{A6A508B0-AB15-4EC7-99BF-99A32AD298C4},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,313,Coca Cola Campus,Luckie Street Northwest,Luckie St & North Ave,33.769823  -84.396140,3,Private Property,Sidewalk,Private,Mono-directional Straight,13,6,10,Concrete,Small Sign,yes,yes,yes,yes
78,-84.38628733,33.78167076,{7F51AEAB-50EC-4ABE-9E46-1DD0FB6320D3},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,104,Midtown MARTA NORTH,10th Street,Peachtree & Crescent,33.781714  -84.386336,1,Off Roadway,Plaza,Public,Mono-directional Straight,49,6,20,Stone or Brick Pavers,Small Sign,yes,yes,yes,yes
80,-84.38799631,33.76488609,{5F2B1525-AC48-47C9-8B02-56EFE57A5B91},GIS,2017-04-12T12:50:35.000Z,GIS,2017-04-20T17:01:18.000Z,703,Ivan Allen & W. Peachtree,Ivan Allen Blvd,Ivan Allen & W. Peachtree,33.764747  -84.387981,7,On Roadway,Metered Parking,Public,Mono-directional Straight,40',6,15,Asphalt,Large Sign,yes,yes,yes,yes
82,-84.41387521,33.73546716,{11B031ED-2CB1-4988-85C6-D540DE5A7685},GIS,2017-04-12T12:50:35.000Z,GIS,2017-04-20T17:01:18.000Z,607,West End MARTA (South),Lee St,York Ave & Lee St,33.735433  -84.413941,6,Private Property,Plaza,Private,Mono-directional Straight,38,6,16,Concrete,Small Sign,yes,yes,yes,yes
84,-84.42447784,33.740799,{58B0DE45-1A2F-4B11-9779-1C594402D44F},GIS,2017-04-12T12:50:35.000Z,GIS,2017-04-20T17:01:18.000Z,578,West End Park,Oak St,,,,,,Private,Mono-directional Straight,34,6,15,Concrete,Small Sign,yes,yes,yes,yes
85,-84.35813201,33.7524669,{5831B966-E145-49DE-BDFF-E9C5093AACF6},GIS,2017-04-20T16:58:13.000Z,GIS,2017-04-20T17:01:18.000Z,345,Atlanta Bicycle Coalition,Wylie St,,,,,Virtual Hub,Private,Mono-directional Straight,45,6,15,Concrete,Small Sign,yes,yes,yes,yes
86,-84.38720285,33.77251549,{45128275-EEFF-4A4E-95D0-17246AF5207B},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,302,Ponce De Leon & W. Peachtree,Ponce De Leon Ave,Ponce De Leon & W. Peachtree,33.772381  -84.387219,3,Off Roadway,Sidewalk,Public,Mono-directional Straight,26,6,10,Concrete,Small Sign,yes,yes,yes,yes
87,-84.38860666,33.77666588,{0D194530-4793-4C68-A171-3AF645C7D5BD},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,309,Tech Square,Spring street,10th and spring,"33.776631  -84.388737
",3,Off Roadway,Sidewalk,Public,Mono-directional Straight,40,6,14,Concrete,Large Sign,yes,yes,yes,yes
88,-84.3911091,33.75591393,{8F5CE03E-810C-4FA4-9353-D5AF90EF5252},GIS,2017-04-12T12:50:35.000Z,GIS,2017-04-20T17:01:18.000Z,705,Marietta & Forsyth,Marietta St,Marietta & Forsyth,33.755780  -84.391234,7,Other,Sidewalk,Public,Mono-directional Straight,40,6,,Concrete,Small Sign,yes,yes,yes,yes
89,-84.3865925,33.78930015,{3CB6B4E4-E745-46FF-95C6-EEBF800084A6},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,103,Arts Center MARTA,,,-84.386673 33.789259,1,Private Property,Plaza,Private,Mono-directional Straight,49',6,20,Asphalt,Small Sign,yes,yes,yes,yes
90,-84.37780344,33.78667564,{2E133A1C-4238-4454-9775-7D1344F1E0BB},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,203,Piedmont Park (West),14th St,Piedmont Ave,33.786549  -84.377897,2,Park,Other,Public,Mono-directional Straight,30'+,6,,Stone or Brick Pavers,Small Sign,yes,yes,yes,yes
91,-84.37127268,33.78630943,{46C8594F-7E2E-428D-93BF-262054FD873D},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,204,"E. Piedmont Park
",Park Dr NE,Park Dr NE,33.786273  -84.371257,2,Park,Other,Public,Mono-directional Straight,34,6,12,Concrete,Small Sign,yes,yes,yes,yes
92,-84.38750803,33.7662899,{B75F47E0-873F-419A-9D1D-FDE0611F8A04},GIS,2017-04-12T12:50:35.000Z,GIS,2017-04-20T17:01:18.000Z,301,Civic Center MARTA,W. Peachtree St,,-84.387574 33.766234,3,Private Property,Plaza,Private,Mono-directional Straight,40,6,16,Asphalt,Small Sign,yes,yes,yes,yes
93,-84.40429269,33.782098,{56EA9644-B037-4152-9C4D-76969968C1A1},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,302,Home Park,Hemphill Ave,Hemphill & McMilan St,-84.404311 33.782126,1,Private Property,Plaza,Public,Mono-directional Straight,22,6,,Asphalt,Small Sign,yes,yes,yes,yes
94,-84.39190256,33.77147789,{4E8D1C28-BE0F-40A0-8D60-4E922F4C8277},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,304,Bobby Dodd Stadium,Techwood Dr,Techwood Dr & North Ave,-84.39193   33.77146,3,Private Property,Plaza,Public,Mono-directional Straight,26,6,10,Asphalt,Small Sign,yes,yes,yes,yes
95,-84.40246359,33.77574894,{885175B8-4208-4CAD-954E-3A4E1DCA6A1B},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,306,Ga Tech CRC,,,-84.404826 33.775866,3,Private Property,Plaza,Public,Mono-directional Straight,23,6,,Asphalt,Small Sign,yes,yes,yes,yes
98,-84.39721262,33.7728817,{B2DEF100-F5FB-4873-A107-E03AEBF14BC3},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,307,Ga Tech Transit Hub,,,-84.39723   33.772762,3,Private Property,Plaza,Private,Mono-directional Straight,34,6,,Asphalt,Small Sign,yes,yes,yes,yes
99,-84.40473834,33.77869071,{314FD6B3-2FA0-40A7-917F-263C65CD152A},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,308,West Campus Housing,,,-84.404311 33.779789,3,Private Property,Plaza,Private,Mono-directional Straight,41,6,,Asphalt,Small Sign,yes,yes,yes,yes
100,-84.40758859,33.77752037,{36CA6995-3005-45B0-8C3E-5887436C8AB5},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,314,Tech Parkway,"822 Hampton St NW, Atlanta, GA 30318",Hampton & 3rd,33.777484  -84.407627,3,Private Property,Plaza,Private,Mono-directional Straight,22,6,12,Asphalt,Small Sign,yes,yes,yes,yes
101,-84.37768137,33.76830406,{7472BF95-DC48-4B83-BAD8-0A6C97E3AD82},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,400,Central Park,,,-84.377661 33.76816,3,Private Property,Plaza,Private,Mono-directional Straight,24,6,,Asphalt,Small Sign,yes,yes,yes,yes
102,-84.35320628,33.77550621,{6632FD64-0214-48CF-850E-1C6A740F84EC},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,500,Atkins Park,"North Highland Avenue Northeast, Atlanta, GA 30306",North Highland Ave NE  & St Charles Ave NE,33.775479  -84.353235,5,On Roadway,Non-Metered,Public,Mono-directional Straight,26',6,10,Asphalt,Small Sign,yes,yes,yes,yes
103,-84.35387767,33.78246421,{BEF9EAD1-35DF-4495-8FA9-5D10E445F495},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,501,Virginia Highland,"1021 Virginia Ave NE, Atlanta, GA 30306",Virginia Ave NE & North Highland Ave NE,33.782398  -84.353912,5,On Roadway,Metered,Public,Mono-directional Straight,26',6,11,Asphalt,Small Sign,yes,yes,yes,yes
104,-84.36516386,33.77672514,{F401B1B3-2363-45C2-AA98-D5F0C177B637},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,502,Greenwood Ave. BeltLine ,697 Greenwood Ave NE,Greenwood Ave NE & Ponce De Leon Pl NE ,33.77672    -84.36406,5,On Roadway,Non-Metered ,Public,Mono-directional Straight,40',6,15,Asphalt,Small Sign,yes,yes,yes,yes
105,-84.35247386,33.77349205,{7CFF8180-84EA-4C03-B07D-8CFA7AB976BF},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-07-06T13:18:47.000Z,"504
",Poncey-Highlands,"698 North Highland Avenue Northeast Atlanta, GA 30306",N. Higland & Ponce De Leon Pl ,33.773471  -84.352532,5,On Roadway,Metered ,Public,Mono-directional Straight,39',6,15,Concrete,Small Sign,yes,yes,yes,yes
106,-84.36541331,33.77111168,{FC61250D-6C99-4CDB-8614-5F96851EBA28},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,505,Historic Fourth Ward Park,,,-84.365408 33.771077,5,On Roadway,Metered ,Public,Mono-directional Straight,30,6,11,Stone or Brick Pavers,Small Sign,yes,yes,yes,yes
107,-84.41368466,33.7443609,{AE4B6FB5-5E36-485F-96AC-058A0C6CEC16},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,603,Spelman College,Westview Dr,Westview Dr & Lee St,-84.412315 33.746859,6,On Roadway,Metered ,Private,Mono-directional Straight,26,6,11,Concrete,Small Sign,yes,yes,yes,yes
108,-84.41747628,33.73790856,{7113DE94-3467-4373-AFD6-BE34CB42F513},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,605,West End Station,RDA,RDA & Joseph Lowery,33.737925  -84.417519,6,Off Roadway,Sidewalk,Public,Mono-directional Straight,26,6,10,,Small Sign,yes,yes,yes,yes
109,-84.35888255,33.84526938,{5A5DD6ED-3E3B-4DD8-B078-50215AE40FED},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,68,Lenox MARTA,,,-84.358971 33.845273,10,Off Roadway,Sidewalk,Public,Mono-directional Straight,34,6,,Concrete,Large Sign,yes,yes,yes,yes
110,-84.39080393,33.75347252,{9A001769-10E4-4A38-A122-63769A5D210D},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,706,Five Points MARTA,Peachtree St,Peachtree St,33.753474  -84.390843,7,Off Roadway,Sidewalk,Public,Mono-directional Straight,26,6,11,Concrete,Small Sign,yes,yes,yes,yes
111,-84.38787424,33.75811119,{C4D0C0D4-839D-4987-9A60-7413AC8406B3},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,802,Peachtree Center MARTA,Carnegie Way,Carnegie Way & Forsyth St,33.758049  -84.387870,8,Private Property,Plaza,Private,Mono-directional Straight,26,6,11,Asphalt,Small Sign,yes,yes,yes,yes
112,-84.37420237,33.75389977,{06CBFF62-2DD8-4FCB-9617-F04AA61544BD},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,807,Jackson & Chamberlain,Chamberlain,Jackson & Chamberlain,33.753778  -84.374241,8,On Roadway,Non-metered,Public,Mono-directional Straight,26,6,10,Asphalt,Small Sign,yes,yes,yes,yes
113,-84.37420237,33.759515,{9F02D1BE-C6EF-4C93-990A-64EF8F12716B},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,808,Jackson St. Bridge,Jackson St.,Jackson St. & Cain,33.759483  -84.374173,8,On Roadway,Non-metered,Public,Mono-directional Straight,26,6,10,Concrete,Small Sign,yes,yes,yes,yes
114,-84.37597239,33.7504818,{72D984B6-3DB4-476C-A3E2-D98D028943E9},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,810,King Memorial MARTA,Decatur St,Decatur St & Grant St,-84.375987 33.750535,8,Private Property,Plaza,Private,Mono-directional Straight,52,6,21,Asphalt,Small Sign,yes,yes,yes,yes
115,-84.37328684,33.74627037,{E169EDD5-6BC2-47E7-BE98-38D66667FCB0},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,811,Cherokee & Woodward ,318 Cherokee Ave SE,Cherokee & Woodward ,33.746204  -84.373380,8,On Roadway,Non-Metered,Public,Mono-directional Straight,40',6,21,Asphalt,Small Sign,yes,yes,yes,yes
116,-84.37359202,33.73607751,{1A6FE2F8-F00F-41DE-8678-B1B1460A0DEA},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-07-06T13:20:15.000Z,831,Grant Park Zoo,Cherokee St,Cherokee St & Pavillion Rd,33.735945  -84.373606,8,On Roadway,On-street Parking,Public,Mono-directional Straight,29,6,10,Asphalt,Small Sign,yes,yes,yes,yes
117,-84.35070384,33.76427574,{40CEE1F2-CCEB-4E6E-8C56-9C2DB320EA7F},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,902,Little Five Points,Euclid Ave,,33.764134  -84.350780,9,On Roadway,On-street,Public,Mono-directional Straight,35,6,10,Stone or Brick Pavers,Small Sign,yes,yes,yes,yes
118,-84.36647202,33.75680182,{8223A85C-6AE6-455D-885F-70E420524BCE},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,903,Studioplex,,,-84.365988 33.756172,9,On Roadway,On-street,Public,Mono-directional Straight,34,6,,Stone or Brick Pavers,Small Sign,yes,yes,yes,yes
119,-84.35387767,33.75750084,{9174CC13-7073-4EA5-A4CE-97CB66D3BCF7},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,909,Inman Park MARTA,Hurt St,Hurt St & Edgewood Ave,33.757510  -84.353928,8,Private Property,Plaza,Private,Mono-directional Straight,"35'8""",6,15,Concrete,Large Sign,yes,yes,yes,yes
120,-84.36571848,33.76146812,{277A7723-6981-4756-9F60-080F6E20C3E7},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,806,Highland Ave - Freedom Trail Park,Highland Ave,Highland Ave & Sampson St,33.761369  -84.365742,8,Off Roadway,Non-metered,Public,Mono-directional Straight,40,6,16,Concrete,Large Sign,yes,yes,yes,yes
121,-84.36529124,33.75426598,{B7B33186-3B3C-4FC2-B3CE-8C968739DF7F},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,907,Edgewood Ave  - Beltline ,Edgewood Ave,,33.754297  -84.365342,9,On Roadway,Non-metered,Public,Mono-directional Straight,31,6,13,Asphalt,Small Sign,yes,yes,yes,yes
122,-84.36797679,33.75451012,{30066773-6666-4752-90BD-B2341B9536F3},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,906,Randolph & Edgewood,Randolph St,Randolph St & Edgewood Ave,33.754426  -84.368052,9,On Roadway,Non-metered Parking,Public,Mono-directional Straight,40,6,13,Asphalt,Large Sign,yes,yes,yes,yes
123,-84.35992015,33.76189537,{490C9AD7-C59D-4BDA-A8AF-95064D104E39},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,905,Inman Village,N. Highland,N. Highland & Inman Village Pkwy,33.761818  -84.359931,9,On Roadway,On-street parking,Public,Mono-directional Straight,38,6,16,Concrete,,yes,yes,yes,yes
124,-84.39660226,33.77471275,{05DD58C9-D29C-4422-8F21-019FA4C00634},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,305,Clough Building (Georgia Tech),,,-84.396629 33.774653,3,On Roadway,On-street parking,Public,Mono-directional Straight,23,6,,Concrete,Small Sign,yes,yes,yes,yes
125,-84.38958322,33.75969811,{BBF191D4-0A08-44D5-AE18-9A71BF0ED768},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,704,Walton Spring Park,Andrew Young ,Andrew Young & Carnegie Way,33.759653  -84.389587,7,On Roadway,Sidewalk,Public,Mono-directional Straight,30,6,10,Asphalt,Small Sign,yes,yes,yes,yes
126,-84.37768137,33.77568931,{ABF13832-8A04-4533-BBED-2780BBF7B981},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,402,Argonne & 5th,Argonne,Argonne & 5th,33.775598  -84.377736,4,On Roadway,Non-metered,Public,Mono-directional Straight,26,6,10,Concrete,Small Sign,yes,yes,yes,yes
127,-84.38610422,33.75988121,{79791A2F-A807-428E-97F3-A0156529D2E4},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,804,PEACHTREE CENTER MALL,Peachtree Center Ave,Peachtree Center Ave & Andrew Young International,33.759977  -84.386156,8,Off Roadway,Sidewalk,Public,Mono-directional Straight,20,6,7,Concrete,Small Sign,yes,yes,yes,yes
128,-84.3820759,33.75566979,{BB74BF28-1B89-410D-B5BB-E0D0EC9EA61F},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,803,Piedmont & Auburn,Piedmont Ave,Piedmont & Auburn,33.755702  -84.382172,8,Off Roadway,Sidewalk,Public,Mono-directional Straight,24,6,9,Asphalt,Small Sign,yes,yes,yes,yes
129,-84.35900462,33.76366539,{984F97E5-8FE3-480E-B376-AE8546FDC75A},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,908,King of Pops,Elizabeth St,Elizabeth St & Bernina Ave,33.763740  -84.359011,9,Off Roadway,Sidewalk,Public,Mono-directional Straight,40,6,11,Asphalt,Large Sign,yes,yes,yes,yes
130,-84.35790599,33.76189537,{C69025CB-DE1A-443E-82EA-E338FF0F8237},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,904,Inman Park,Elizabeth St,Elizabeth St & Austin Ave,33.761813  -84.357885,9,Off Roadway,On-street,Public,Mono-directional Straight,38,6,16,Stone or Brick Pavers,Small Sign,yes,yes,yes,yes
131,-84.43218575,33.73906823,{9F8E9423-A65D-4505-8B46-E06154F2D274},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,604,Gordon-White Park,RDA,RDA & White St,33.738941  -84.432181,6,Park,Plaza,Public,Mono-directional Straight,35,6,12,Asphalt,Small Sign,yes,yes,yes,yes
132,-84.3989216,33.78331871,{0B23205C-DE2B-48AB-BEC7-DB5DFBB996E5},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,100,State & 11th,State,State & 11th,33.783278  -84.398917,1,On Roadway,Non-metered,Public,Mono-directional Straight,35,6,10,Concrete,Small Sign,yes,yes,yes,yes
133,-84.41137277,33.78588218,{872E92D1-616C-4CC9-8073-EC9A8F73D6CE},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,101,14th & Howell Mill Rd,,,-84.411414 33.785871,1,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,,Concrete,Small Sign,yes,yes,yes,yes
134,-84.36980784,33.78228111,{63DC9339-E4A1-4271-AE8A-483F470E2FB7},GIS,2017-04-12T12:50:35.000Z,GIS,2017-04-20T17:01:18.000Z,201,Piedmont Park & Eastside BeltLine,,,33.782304  -84.369834,2,On Roadway,Other,Public,Mono-directional Straight,35,6,10,Asphalt,Small Sign,yes,yes,yes,yes
135,-84.38439524,33.78331871,{F7343DE3-E7A3-46B9-B707-ABD401FED300},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,107,11th & Peachtree ,11th St,11th & Crescent Ave,-84.384425 33.783296,1,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,,Asphalt,Small Sign,yes,yes,yes,yes
136,-84.397884,33.75231285,{CD6CA63E-4BB4-4CF6-A6EB-86E8E671EB54},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,707,Nelson St. Bridge,,,-84.397895 33.752256,7,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,10,Asphalt,Small Sign,yes,yes,yes,yes
137,-84.38610422,33.75408287,{20C649A2-36AC-4724-B52D-453A231A51DE},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,809,GSU Arts & Humanities,,,"33.754152  -84.386118
",8,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,10,Asphalt,Small Sign,yes,yes,yes,yes
138,-84.39031565,33.75347252,{9C80B505-1F81-41F9-9CBA-477776F87EC8},GIS,2017-04-12T12:50:35.000Z,GIS,2017-04-20T17:01:18.000Z,812,Underground Atlanta,,Peachtree St & Wall St,33.75344    -84.39034,8,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,10,Asphalt,Small Sign,yes,yes,yes,yes
139,-84.36968577,33.74651451,{E09BE5B2-D6D8-4D04-88B1-5D80FF13D3A5},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,830,Park & Memorial,Park Ave,Park Ave & Memorial St,33.746517  -84.369679,8,On Roadway,On-street Parking,Public,Mono-directional Straight,35,6,10,Concrete,Small Sign,yes,yes,yes,yes
140,-84.38567698,33.75109215,{9E83722A-84A8-4320-8FAB-BCB67CD501EA},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,814,GSU MARTA ,,,-84.385707 33.751079,8,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,10,Concrete,Small Sign,yes,yes,yes,yes
141,-84.38799631,33.75628014,{E38A3B5C-6863-4C09-AFBB-F19D4B5C4048},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,815,Woodruff Park,Auburn Ave NE ,Peachtree St NW / Park Pl NE,-84.388068 33.756172,8,On Roadway,Plaza,Public,Mono-directional Straight,35,6,10,Concrete,Small Sign,yes,yes,yes,yes
142,-84.39080393,33.74871178,{61CFBD15-4D29-453E-85B7-D2E05E7EBD67},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,816,City Hall,,,-84.3909      33.748572,8,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,8,Concrete,Small Sign,yes,yes,yes,yes
143,-84.38061106,33.75408287,{EC99DB7C-32D8-4992-82DA-799D417AFDDB},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,817,Sweet Auburn Market,Jesse Hill Jr Dr. SE,Coca Cola Pl SE / Edgewood Ave SE,33.75404    -84.380606,8,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,7,Concrete,Small Sign,yes,yes,yes,yes
144,-84.38738596,33.76311607,{C0FCD426-3ECA-4E47-95A3-3DE387746951},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,708,Hardy Ivy Park,,,-84.387381 33.763005,7,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,10,Concrete,Small Sign,yes,yes,yes,yes
145,-84.39344367,33.75162022,{976EE1A3-545D-4CFE-AD80-5D89FF95264D},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,709,S. Broad,Broad St,,33.753         -84.39228,7,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,10,Concrete,Small Sign,yes,yes,yes,yes
146,-84.39080393,33.75188561,{2811FB5D-8F6A-4D4D-8EE6-EA0045DE345D},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,710,M. Rich,,,-84.390922 33.751837,8,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,8,Concrete,Small Sign,yes,yes,yes,yes
147,-84.37920725,33.78167076,{FE2E7019-5FD3-4E6A-9D21-BE0A1749B65C},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,401,Outwrite Station,10th Street ,10th Street NE & Myrtle St NE,33.781749  -84.379257,4,On Roadway,Sidewalk,Public,Mono-directional Straight,36',6,15,Stone or Brick Pavers,Small Sign,yes,yes,yes,yes
148,-84.39458811,33.76067467,{5661CE99-46F6-499B-B55C-B4CF4AD3C7EC},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,800,Centennial Olympic Park,Park Ave NW,Park Ave & Marietta,-84.39458   33.760534,7,On Roadway,Sidewalk,Public,Mono-directional Straight,26,6,11,Concrete,Small Sign,yes,yes,yes,yes
