ID,Station Name,Address,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
149,Calumet Ave & 33rd St,Calumet Ave & 33rd St,11,11,In Service,41.8349,-87.61793,"(41.8349, -87.61793)"
339,Emerald Ave & 31st St,Emerald Ave & 31st St,11,11,In Service,41.838198,-87.645143,"(41.838198, -87.645143)"
381,Western Ave & Monroe St,Western Ave & Monroe St,15,15,In Service,41.879787709,-87.686112808,"(41.8797877089, -87.686112808)"
480,Albany Ave & Montrose Ave,Albany Ave & Montrose Ave,15,15,In Service,41.961041,-87.705866,"(41.961041, -87.705866)"
150,Fort Dearborn Dr & 31st St,Fort Dearborn Dr & 31st St,27,27,In Service,41.838556,-87.608218,"(41.838556, -87.608218)"
148,State St & 33rd St,State St & 33rd St,15,15,In Service,41.834734,-87.625813,"(41.834734, -87.625813)"
18,Wacker Dr & Washington St,Wacker Dr & Washington St,19,19,In Service,41.883132,-87.637321,"(41.883132, -87.637321)"
205,Paulina St & 18th St,Paulina St & 18th St,15,15,In Service,41.857901,-87.668745,"(41.857901, -87.668745)"
191,Canal St & Monroe St (*),Canal St & Monroe St (*),28,28,In Service,41.880884,-87.639525,"(41.880884, -87.639525)"
175,Wells St & Polk St,Wells St & Polk St,19,19,In Service,41.872596,-87.633502,"(41.872596, -87.633502)"
197,Michigan Ave & Madison St,Michigan Ave & Madison St,19,19,In Service,41.882134,-87.625125,"(41.882134, -87.625125)"
263,Rhodes Ave & 32nd St,Rhodes Ave & 32nd St,11,11,In Service,41.836208,-87.613533,"(41.836208, -87.613533)"
210,Ashland Ave & Division St,Ashland Ave & Division St,19,19,In Service,41.90345,-87.667747,"(41.90345, -87.667747)"
377,Kedzie Ave & Lake St,Kedzie Ave & Lake St,19,19,In Service,41.884603285,-87.706303744,"(41.88460328501, -87.7063037436)"
531,Central Ave & Lake St,Central Ave & Lake St,15,15,In Service,41.887664,-87.765469,"(41.887664, -87.765469)"
170,Clinton St & 18th St,Clinton St & 18th St,15,15,In Service,41.85795,-87.640826,"(41.85795, -87.640826)"
315,Elston Ave & Wabansia Ave,Elston Ave & Wabansia Ave,23,23,In Service,41.912919,-87.664169,"(41.912919, -87.664169)"
178,State St & 19th St,State St & 19th St,15,15,In Service,41.856594,-87.627542,"(41.856594, -87.627542)"
147,Indiana Ave & 26th St,Indiana Ave & 26th St,15,15,In Service,41.845687,-87.622481,"(41.845687, -87.622481)"
431,Eberhart Ave & 61st St,Eberhart Ave & 61st St,11,11,In Service,41.784141693,-87.61330783,"(41.78414169317, -87.6133078304)"
455,Maplewood Ave & Peterson Ave,Maplewood Ave & Peterson Ave,15,15,In Service,41.990236029,-87.69336964,"(41.99023602867, -87.6933696402)"
261,Hermitage Ave & Polk St,Hermitage Ave & Polk St,15,15,In Service,41.871514,-87.669886,"(41.871514, -87.669886)"
439,Kedzie Ave & 21st St,Kedzie Ave & 21st St,11,11,In Service,41.853533632,-87.705073032,"(41.85353363213, -87.7050730318)"
265,Cottage Grove Ave & Oakwood Blvd,Cottage Grove Ave & Oakwood Blvd,15,14,In Service,41.822985,-87.6071,"(41.822985, -87.6071)"
566,Ashland Ave & 69th St,Ashland Ave & 69th St,0,0,Not In Service,41.768726,-87.664069,"(41.768726, -87.664069)"
533,Central Park Blvd & 5th Ave,Central Park Blvd & 5th Ave,15,15,In Service,41.875679,-87.71547,"(41.875679, -87.71547)"
375,Sacramento Blvd & Franklin Blvd,Sacramento Blvd & Franklin Blvd,11,11,In Service,41.889727,-87.70103,"(41.889727, -87.70103)"
590,Kilbourn Ave & Irving Park Rd,Kilbourn Ave & Irving Park Rd,15,15,In Service,41.953733,-87.740569,"(41.953733, -87.740569)"
227,Southport Ave & Waveland Ave,Southport Ave & Waveland Ave,23,23,In Service,41.94815,-87.66394,"(41.94815, -87.66394)"
368,Ashland Ave & Archer Ave,Ashland Ave & Archer Ave,15,15,In Service,41.839208684,-87.665609859,"(41.83920868403, -87.6656098589)"
482,Campbell Ave & Montrose Ave,Campbell Ave & Montrose Ave,15,15,In Service,41.961525933,-87.691165041,"(41.96152593287, -87.6911650414)"
499,Kosciuszko Park,Kosciuszko Park,15,15,In Service,41.930585371,-87.723777364,"(41.93058537138, -87.7237773635)"
37,Dearborn St & Adams St,59 W. Adams St,19,19,In Service,41.879356359,-87.629791036,"(41.8793563587, -87.6297910363)"
212,Orleans St & Ohio St,Orleans St & Ohio St,23,23,In Service,41.892154,-87.636928,"(41.892154, -87.636928)"
22,May St & Taylor St,1134 W. Taylor St,15,15,In Service,41.8694821,-87.6554864,"(41.8694821, -87.6554864)"
55,Halsted St & Roosevelt Rd,850 W Roosevelt Rd,23,22,In Service,41.867324,-87.648625,"(41.867324, -87.648625)"
218,Wells St & 19th St,Wells St & 19th St,11,11,In Service,41.856802,-87.633879,"(41.856802, -87.633879)"
558,Ashland Ave & Garfield Blvd,Ashland Ave & Garfield Blvd,11,11,In Service,41.792822,-87.664429,"(41.792822, -87.664429)"
472,Lincoln Ave & Winona St,Lincoln Ave & Winona St,15,15,In Service,41.974911297,-87.692502559,"(41.97491129677, -87.6925025594)"
446,Western Ave & 28th St,Western Ave & 28th St,11,11,In Service,41.841517708,-87.685131441,"(41.84151770807, -87.6851314409)"
477,Manor Ave & Leland Ave,Manor Ave & Leland Ave,11,10,In Service,41.966317529,-87.701082677,"(41.96631752876, -87.7010826773)"
467,Western Ave & Lunt Ave,Western Ave & Lunt Ave,15,15,In Service,42.008594397,-87.690492239,"(42.0085943972, -87.6904922389)"
560,Marshfield Ave & 59th St,Marshfield Ave & 59th St,11,11,In Service,41.786833,-87.666215,"(41.786833, -87.666215)"
243,Lincoln Ave & Leavitt St,Lincoln Ave & Leavitt St,15,15,In Service,41.962391,-87.684146,"(41.962391, -87.684146)"
498,California Ave & Fletcher St,California Ave & Fletcher St,19,19,In Service,41.938428791,-87.698007756,"(41.93842879148, -87.698007756)"
237,MLK Jr Dr & 29th St,MLK Jr Dr & 29th St,15,15,In Service,41.842052,-87.617,"(41.842052, -87.617)"
557,Seeley Ave & Garfield Blvd,Seeley Ave & Garfield Blvd,11,11,In Service,41.794087,-87.675478,"(41.794087, -87.675478)"
559,Racine Ave & Garfield Blvd,Racine Ave & Garfield Blvd,11,11,In Service,41.794228,-87.655073,"(41.794228, -87.655073)"
562,Racine Ave & 61st St,Racine Ave & 61st St,11,11,In Service,41.783189,-87.654372,"(41.783189, -87.654372)"
495,Keystone Ave & Montrose Ave,Keystone Ave & Montrose Ave,15,15,In Service,41.961108016,-87.728970101,"(41.96110801623, -87.7289701012)"
246,Ashland Ave & Belle Plaine Ave,Ashland Ave & Belle Plaine Ave,11,11,In Service,41.956061,-87.668869,"(41.956061, -87.668869)"
438,Central Park Ave & Ogden Ave,Central Park Ave & Ogden Ave,15,15,In Service,41.854204313,-87.715405838,"(41.85420431327, -87.7154058381)"
445,California Ave & 26th St,California Ave & 26th St,11,11,In Service,41.844040031,-87.695295923,"(41.84404003127, -87.6952959227)"
370,Calumet Ave & 21st St,Calumet Ave & 21st St,15,15,In Service,41.854184249,-87.619153741,"(41.85418424947, -87.6191537415)"
256,Broadway & Sheridan Rd,Broadway & Sheridan Rd,15,15,In Service,41.952833,-87.649993,"(41.952833, -87.649993)"
414,Canal St & Taylor St,Canal St & Taylor St,15,15,In Service,41.870257,-87.639474,"(41.870257, -87.639474)"
253,Winthrop Ave & Lawrence Ave,Winthrop Ave & Lawrence Ave,15,15,In Service,41.968812,-87.657659,"(41.968812, -87.657659)"
247,Shore Dr & 55th St,Shore Dr & 55th St,19,19,In Service,41.795212,-87.580715,"(41.795212, -87.580715)"
288,Larrabee St & Armitage Ave,Off Street,11,11,In Service,41.918084,-87.643749,"(41.918084, -87.643749)"
443,Millard Ave & 26th St,Millard Ave & 26th St,11,11,In Service,41.844566849,-87.715910308,"(41.84456684891, -87.7159103081)"
441,Kedzie Ave & 24th St,Kedzie Ave & 24th St,11,11,In Service,41.848190945,-87.705413746,"(41.84819094491, -87.7054137458)"
262,Halsted St & 37th St,On Street,11,11,In Service,41.827059,-87.64572,"(41.827059, -87.64572)"
493,Oakley Ave & Roscoe St,Oakley Ave & Roscoe St,15,15,In Service,41.942916,-87.685801,"(41.942916, -87.685801)"
518,Conservatory Dr & Lake St,Conservatory Dr & Lake St,15,15,In Service,41.885502,-87.716866,"(41.885502, -87.716866)"
483,Avondale Ave & Irving Park Rd,Avondale Ave & Irving Park Rd,19,19,In Service,41.953393,-87.732002,"(41.953393, -87.732002)"
241,Morgan St & Polk St,Morgan St & Polk St,19,19,In Service,41.871737,-87.65103,"(41.871737, -87.65103)"
485,Sawyer Ave & Irving Park Rd,Sawyer Ave & Irving Park Rd,15,15,In Service,41.953586179,-87.7093108,"(41.95358617895, -87.7093107999)"
552,Ashland Ave & McDowell Ave,Ashland Ave & McDowell Ave,11,11,In Service,41.80887,-87.66454,"(41.80887, -87.66454)"
546,Damen Ave & Pershing Rd,Damen Ave & Pershing Rd,11,11,In Service,41.823192,-87.676597,"(41.823192, -87.676597)"
226,Racine Ave & Belmont Ave,Racine Ave & Belmont Ave,15,15,In Service,41.939743,-87.658865,"(41.939743, -87.658865)"
60,Dayton St & North Ave,1575 N Dayton St,19,19,In Service,41.910578035,-87.649421929,"(41.9105780349, -87.6494219288)"
225,Halsted St & Dickens Ave,Halsted St & Dickens Ave,15,15,In Service,41.919936,-87.64883,"(41.919936, -87.64883)"
295,Broadway & Argyle St,Broadway & Argyle St,15,15,In Service,41.973815,-87.65966,"(41.973815, -87.65966)"
30,Ashland Ave & Augusta Blvd,1611 W. Augusta Blvd,15,15,In Service,41.899643,-87.6677,"(41.899643, -87.6677)"
88,Racine Ave & Randolph St,1213 W Randolph St,19,19,In Service,41.884069,-87.656853,"(41.884069, -87.656853)"
561,Damen Ave & 59th St,Damen Ave & 59th St,11,11,In Service,41.78602,-87.674167,"(41.78602, -87.674167)"
593,Halsted St & 59th St,Halsted St & 59th St,11,11,In Service,41.787539,-87.644874,"(41.787539, -87.644874)"
565,Ashland Ave & 66th St,Ashland Ave & 66th St,11,11,In Service,41.774074,-87.663815,"(41.774074, -87.663815)"
307,Southport Ave & Clybourn Ave,Southport Ave & Clybourn Ave,15,15,In Service,41.920771,-87.663712,"(41.920771, -87.663712)"
600,Dodge Ave & Church St,Dodge Ave & Church St,15,15,In Service,42.048308,-87.698224,"(42.048308, -87.698224)"
601,Central St Metra,Central St Metra,15,15,In Service,42.063598,-87.69873,"(42.063598, -87.69873)"
605,University Library (NU),University Library (NU),15,15,In Service,42.052939,-87.673447,"(42.052939, -87.673447)"
224,Halsted St & Willow St,Halsted St & Willow St,19,19,In Service,41.913778,-87.64884,"(41.913778, -87.64884)"
324,Stockton Dr & Wrightwood Ave,Stockton Dr & Wrightwood Ave,15,15,In Service,41.93132,-87.638742,"(41.93132, -87.638742)"
320,Loomis St & Lexington St,Loomis St & Lexington St,19,19,In Service,41.872187,-87.661501,"(41.872187, -87.661501)"
317,Wood St & Taylor St,Wood St & Taylor St,23,22,In Service,41.869154,-87.671045,"(41.869154, -87.671045)"
598,Elmwood Ave & Austin St,Elmwood Ave & Austin St,15,15,In Service,42.025784,-87.684107,"(42.025784, -87.684107)"
599,Valli Produce - Evanston Plaza,Valli Produce - Evanston Plaza,15,15,In Service,42.039742,-87.699413,"(42.039742, -87.699413)"
573,State St & 79th St,State St & 79th St,15,15,In Service,41.750794,-87.624424,"(41.750794, -87.624424)"
100,Orleans St & Merchandise Mart Plaza,333 N Orleans St,35,35,In Service,41.888243,-87.63639,"(41.888243, -87.63639)"
112,Green St & Randolph St,Green St & Randolph St,15,15,In Service,41.883668,-87.64867,"(41.883668, -87.64867)"
120,Wentworth Ave & Archer Ave,Wentworth Ave & Archer Ave,23,23,In Service,41.853605,-87.631886,"(41.853605, -87.631886)"
527,Western Ave & Howard St,Western Ave & Howard St,19,19,In Service,42.018901,-87.690048,"(42.018901, -87.690048)"
331,Halsted St & Blackhawk St (*),Halsted St & Blackhawk St (*),20,20,In Service,41.908537,-87.648627,"(41.908537, -87.648627)"
382,Western Ave & Congress Pkwy,Western Ave & Congress Pkwy,19,19,In Service,41.874748851,-87.686445276,"(41.87474885079, -87.6864452757)"
328,Ellis Ave & 58th St,Ellis Ave & 58th St,19,19,In Service,41.788746,-87.601334,"(41.788746, -87.601334)"
517,Clark St & Jarvis Ave,Clark St & Jarvis Ave,15,15,In Service,42.015963,-87.675005,"(42.015963, -87.675005)"
432,Clark St & Lunt Ave,Clark St & Lunt Ave,19,19,In Service,42.009074,-87.67419,"(42.009074, -87.67419)"
564,Racine Ave & 65th St,Racine Ave & 65th St,11,11,In Service,41.775393,-87.654308,"(41.775393, -87.654308)"
554,Damen Ave & 51st St,Damen Ave & 51st St,11,11,In Service,41.800908,-87.674684,"(41.800908, -87.674684)"
602,Central St & Girard Ave,Central St & Girard Ave,15,15,In Service,42.064313,-87.686152,"(42.064313, -87.686152)"
574,Eberhart (Vernon) Ave & 79th St,Eberhart (Vernon) Ave & 79th St,11,11,In Service,41.751345,-87.612568,"(41.751345, -87.612568)"
520,Greenview Ave & Jarvis Ave,Greenview Ave & Jarvis Ave,23,23,In Service,42.015962,-87.66857,"(42.015962, -87.66857)"
525,Glenwood Ave & Touhy Ave,Glenwood Ave & Touhy Ave,15,15,In Service,42.012701,-87.666058,"(42.012701, -87.666058)"
522,Bosworth Ave & Howard St,Bosworth Ave & Howard St,15,15,In Service,42.019537,-87.669563,"(42.019537, -87.669563)"
526,Oakley Ave & Touhy Ave,Oakley Ave & Touhy Ave,15,15,In Service,42.012342,-87.688243,"(42.012342, -87.688243)"
207,Emerald Ave & 28th St,Emerald Ave & 28th St,15,15,In Service,41.84358,-87.645368,"(41.84358, -87.645368)"
15,Racine Ave & 18th St,1726 S Racine Ave,15,15,In Service,41.858166,-87.656495,"(41.858166, -87.656495)"
183,Damen Ave & Augusta Blvd,Damen Ave & Augusta Blvd,23,23,In Service,41.899113,-87.677212,"(41.899113, -87.677212)"
142,McClurg Ct & Erie St,660 N McClurg Ct,31,31,In Service,41.894503,-87.617854,"(41.894503, -87.617854)"
202,Halsted St & 18th St,Halsted St & 18th St,15,15,In Service,41.857499,-87.646277,"(41.857499, -87.646277)"
332,Halsted St & Diversey Pkwy,Halsted St & Diversey Pkwy,19,19,In Service,41.933666,-87.648959,"(41.933666, -87.648959)"
334,Lake Shore Dr & Belmont Ave,Lake Shore Dr & Belmont Ave,19,19,In Service,41.940775,-87.639192,"(41.940775, -87.639192)"
234,Clark St & Montrose Ave,Clark St & Montrose Ave,19,19,In Service,41.961588,-87.666036,"(41.961588, -87.666036)"
297,Paulina St & Montrose Ave,Paulina St & Montrose Ave,15,13,In Service,41.961507,-87.671387,"(41.961507, -87.671387)"
299,Halsted St & Roscoe St,Halsted St & Roscoe St,15,15,In Service,41.94367,-87.64895,"(41.94367, -87.64895)"
306,Sheridan Rd & Buena Ave,Sheridan Rd & Buena Ave,19,19,In Service,41.958494,-87.654966,"(41.958494, -87.654966)"
194,Wabash Ave & Wacker Pl,Wabash Ave & Wacker Pl,19,18,In Service,41.886875,-87.62603,"(41.886875, -87.62603)"
318,Southport Ave & Irving Park Rd,Southport Ave & Irving Park Rd,15,15,In Service,41.954177,-87.664358,"(41.954177, -87.664358)"
449,Clark St & Columbia Ave,Clark St & Columbia Ave,15,15,In Service,42.004450629,-87.672402405,"(42.00445062934, -87.6724024047)"
351,Cottage Grove Ave & 51st St,Off Street,15,15,In Service,41.803038,-87.606615,"(41.803038, -87.606615)"
471,Francisco Ave & Foster Ave,Francisco Ave & Foster Ave,15,15,In Service,41.975632725,-87.701419439,"(41.97563272521, -87.7014194389)"
311,Leavitt St & Lawrence Ave,Leavitt St & Lawrence Ave,19,19,In Service,41.968885,-87.684001,"(41.968885, -87.684001)"
354,Sheridan Rd & Greenleaf Ave,Sheridan Rd & Greenleaf Ave,15,15,In Service,42.010586563,-87.662412095,"(42.01058656284, -87.6624120948)"
344,Ravenswood Ave & Lawrence Ave,Ravenswood Ave & Lawrence Ave,39,39,In Service,41.96909,-87.674237,"(41.96909, -87.674237)"
146,Loomis St & Jackson Blvd,Loomis St & Jackson Blvd,11,11,In Service,41.877945,-87.662007,"(41.877945, -87.662007)"
38,Clark St & Lake St,Clark St & Lake St,27,26,In Service,41.886020828,-87.630876058,"(41.88602082773, -87.6308760584)"
39,Wabash Ave & Adams St,Wabash Ave & Adams St,23,21,In Service,41.879472352,-87.625688606,"(41.87947235235, -87.6256886059)"
340,Clark St & Wrightwood Ave,Clark St & Wrightwood Ave,15,15,In Service,41.929546,-87.643118,"(41.929546, -87.643118)"
346,Ada St & Washington Blvd,Ada St & Washington Blvd,15,15,In Service,41.88283,-87.661206,"(41.88283, -87.661206)"
116,Western Ave & Winnebago Ave,Western Ave & Winnebago Ave,15,15,In Service,41.91552,-87.687022,"(41.91552, -87.687022)"
424,Museum of Science and Industry,Museum of Science and Industry,27,27,In Service,41.79172821,-87.583945009,"(41.79172820953, -87.583945009)"
185,Stave St & Armitage Ave,Stave St & Armitage Ave,11,11,In Service,41.917741,-87.691392,"(41.917741, -87.691392)"
208,Ashland Ave & 21st St,Ashland Ave & 21st St,15,15,In Service,41.85381,-87.665897,"(41.85381, -87.665897)"
152,Lincoln Ave & Diversey Pkwy,Lincoln Ave & Diversey Pkwy,15,15,In Service,41.932225,-87.658617,"(41.932225, -87.658617)"
273,Michigan Ave & 18th St,Michigan Ave & 18th St,23,23,In Service,41.857813,-87.62455,"(41.857813, -87.62455)"
402,Shields Ave & 31st St,Shields Ave & 31st St,15,15,In Service,41.838464,-87.635406,"(41.838464, -87.635406)"
413,Woodlawn Ave & Lake Park Ave,Woodlawn Ave & Lake Park Ave,15,15,In Service,41.81409271,-87.597005148,"(41.81409271048, -87.5970051479)"
437,Washtenaw Ave & Ogden Ave (*),Washtenaw Ave & Ogden Ave (*),20,20,In Service,41.861894,-87.693511,"(41.861894, -87.693511)"
17,Honore St & Division St,W. Divison St,23,22,In Service,41.903119,-87.673935,"(41.903119, -87.673935)"
420,Ellis Ave & 55th St,Ellis Ave & 55th St,19,18,In Service,41.794300621,-87.601449773,"(41.79430062054, -87.6014497734)"
162,Damen Ave & Wellington Ave,Damen Ave & Wellington Ave,15,15,In Service,41.93588,-87.67842,"(41.93588, -87.67842)"
423,University Ave & 57th St,Off Street,27,26,In Service,41.791478,-87.599861,"(41.791478, -87.599861)"
417,Cornell Ave & Hyde Park Blvd,Cornell Ave & Hyde Park Blvd,19,19,In Service,41.802406,-87.586924,"(41.802406, -87.586924)"
433,Kedzie Ave & Harrison St,Kedzie Ave & Harrison St,11,11,In Service,41.873599675,-87.704870749,"(41.87359967462, -87.7048707493)"
458,Broadway & Thorndale Ave,Broadway & Thorndale Ave,19,19,In Service,41.989742511,-87.660140621,"(41.98974251144, -87.6601406209)"
453,Clark St & Schreiber Ave,Clark St & Schreiber Ave,15,15,In Service,41.999251822,-87.671377339,"(41.99925182186, -87.6713773393)"
464,Damen Ave & Foster Ave,Damen Ave & Foster Ave,15,15,In Service,41.975614805,-87.679459039,"(41.97561480459, -87.6794590387)"
457,Clark St & Elmdale Ave,Clark St & Elmdale Ave,19,19,In Service,41.99089375,-87.669583398,"(41.99089374974, -87.6695833982)"
496,Avers Ave & Belmont Ave,Avers Ave & Belmont Ave,11,11,In Service,41.939408,-87.723574,"(41.939408, -87.723574)"
460,Clark St & Bryn Mawr Ave,Clark St & Bryn Mawr Ave,15,15,In Service,41.983593,-87.669154,"(41.983593, -87.669154)"
450,Warren Park West,Warren Park West,15,14,In Service,42.001785,-87.688829,"(42.001785, -87.688829)"
451,Sheridan Rd & Loyola Ave,Sheridan Rd & Loyola Ave,15,14,In Service,42.00104378,-87.661198243,"(42.00104377979, -87.6611982433)"
461,Broadway & Ridge Ave,Broadway & Ridge Ave,15,14,In Service,41.984044611,-87.660273829,"(41.9840446107, -87.6602738295)"
442,California Ave & 23rd Pl,California Ave & 23rd Pl,15,15,In Service,41.849109692,-87.695139807,"(41.84910969176, -87.6951398068)"
40,LaSalle St & Adams St,LaSalle St & Adams St,15,14,In Service,41.879344373,-87.631985221,"(41.87934437346, -87.6319852213)"
42,Wabash Ave & Cermak Rd,13 E Cermak Rd,11,11,In Service,41.852619,-87.626488,"(41.852619, -87.626488)"
367,Racine Ave & 35th St,Racine Ave & 35th St,15,15,In Service,41.830696113,-87.655975912,"(41.83069611252, -87.6559759116)"
9,Leavitt St & Archer Ave,NA1,19,19,In Service,41.82879202,-87.680604459,"(41.82879201994, -87.6806044594)"
497,Kimball Ave & Belmont Ave,Kimball Ave & Belmont Ave,23,23,In Service,41.939398,-87.711561,"(41.939398, -87.711561)"
592,Knox Ave & Montrose Ave,Knox Ave & Montrose Ave,15,15,In Service,41.960631,-87.745359,"(41.960631, -87.745359)"
567,May St & 69th St,May St & 69th St,11,11,In Service,41.768938,-87.652934,"(41.768938, -87.652934)"
548,Morgan St & Pershing Rd,Morgan St & Pershing Rd,11,11,In Service,41.823613,-87.650931,"(41.823613, -87.650931)"
7,Field Blvd & South Water St,Field Blvd & South Water St,19,19,In Service,41.886349063,-87.617516547,"(41.88634906269, -87.6175165471)"
87,Racine Ave & Fullerton Ave,2411 N Racine Ave,19,19,In Service,41.92556258,-87.65840426,"(41.92556258, -87.65840426)"
591,Kilbourn Ave & Milwaukee Ave,Kilbourn Ave & Milwaukee Ave,23,23,In Service,41.948818,-87.74002,"(41.948818, -87.74002)"
58,Marshfield Ave & Cortland St,Marshfield Ave & Cortland St,23,21,In Service,41.916017,-87.668879,"(41.916017, -87.668879)"
508,Central Park Ave & North Ave,Central Park Ave & North Ave,15,15,In Service,41.909656876,-87.716631952,"(41.90965687563, -87.7166319516)"
515,Paulina St & Howard St,Paulina St & Howard St,23,23,In Service,42.019159,-87.673573,"(42.019159, -87.673573)"
172,Rush St & Cedar St,Rush St & Cedar St,11,11,In Service,41.902308701,-87.627690528,"(41.90230870122, -87.627690528)"
258,Logan Blvd & Elston Ave,Logan Blvd & Elston Ave,19,19,In Service,41.930584,-87.685126,"(41.930584, -87.685126)"
156,Clark St & Wellington Ave,Clark St & Wellington Ave,15,15,In Service,41.936496822,-87.647538658,"(41.9364968219, -87.6475386582)"
293,Broadway & Wilson Ave,Broadway & Wilson Ave,15,15,In Service,41.965221,-87.658139,"(41.965221, -87.658139)"
325,Clark St & Winnemac Ave,Clark St & Winnemac Ave,19,19,In Service,41.973345,-87.667682,"(41.973345, -87.667682)"
71,Morgan St & Lake St,1003 W. Lake St.,23,23,In Service,41.885483308,-87.652304856,"(41.8854833079, -87.6523048564)"
74,Kingsbury St & Erie St,511 W Erie St,23,22,In Service,41.893882,-87.641711,"(41.893882, -87.641711)"
182,Wells St & Elm St,Wells St & Elm St,23,22,In Service,41.903222,-87.634324,"(41.903222, -87.634324)"
75,Canal St & Jackson Blvd,Canal St & Jackson Blvd,31,30,In Service,41.877245,-87.639366,"(41.877245, -87.639366)"
349,Halsted St & Wrightwood Ave,Halsted St & Wrightwood Ave,15,15,In Service,41.929143,-87.649077,"(41.929143, -87.649077)"
341,Adler Planetarium,Off Street,39,39,In Service,41.866095,-87.607267,"(41.866095, -87.607267)"
84,Milwaukee Ave & Grand Ave,500 N Milwaukee Ave.,19,19,In Service,41.891578,-87.648384,"(41.891578, -87.648384)"
48,Larrabee St & Kingsbury St,840 N Larrabee St,39,39,In Service,41.897764,-87.642884,"(41.897764, -87.642884)"
81,Daley Center Plaza,Daley Center Plaza,39,38,In Service,41.884241,-87.629634,"(41.884241, -87.629634)"
21,Aberdeen St & Jackson Blvd,1103 W.Jackson Blvd,15,15,In Service,41.87772613,-87.65478743,"(41.87772613, -87.65478743)"
36,Franklin St & Jackson Blvd,340 S. Franklin St,39,39,In Service,41.877707956,-87.635321141,"(41.8777079559, -87.6353211408)"
76,Lake Shore Dr & Monroe St,402 E Monroe St,39,38,In Service,41.880958,-87.616743,"(41.880958, -87.616743)"
486,Oakley Ave & Irving Park Rd,Oakley Ave & Irving Park Rd,15,15,In Service,41.954340852,-87.686079624,"(41.95434085219, -87.6860796243)"
125,Rush St & Hubbard St,Rush St & Hubbard St,23,23,In Service,41.890173,-87.626185,"(41.890173, -87.626185)"
89,Financial Pl & Congress Pkwy,Financial Pl & Congress Pkwy,31,31,In Service,41.875009135,-87.633105819,"(41.87500913494, -87.6331058189)"
13,Wilton Ave & Diversey Pkwy,2790 N.Wilton Ave,27,27,In Service,41.932418,-87.652705,"(41.932418, -87.652705)"
128,Damen Ave & Chicago Ave,Damen Ave & Chicago Ave,19,18,In Service,41.895769,-87.67722,"(41.895769, -87.67722)"
